cutoff,mean,std
0.02000000,0.38487538,1.00000000
0.03000000,0.22699648,0.95973154
0.04000000,0.08293363,0.78294122
0.05000000,0.00656808,0.67525889
0.06000000,-0.02400078,0.61472580
0.07000000,-0.03149706,0.58342479
0.08000000,-0.02982603,0.57158877
0.09000000,-0.02767515,0.56736980
0.10000000,-0.02842054,0.56160721
0.11000000,-0.03163475,0.55240101
0.12000000,-0.03577563,0.54141475
0.13000000,-0.03965862,0.53032309
0.14000000,-0.04271552,0.52009294
0.15000000,-0.04482674,0.51112708
0.16000000,-0.04611457,0.50344848
0.17000000,-0.04679164,0.49687038
0.18000000,-0.04707038,0.49113384
0.19000000,-0.04711997,0.48599506
0.20000000,-0.04705472,0.48126600
0.21000000,-0.04693984,0.47682310
0.22000000,-0.04680422,0.47259893
0.23000000,-0.04665403,0.46856740
0.24000000,-0.04648391,0.46472893
0.25000000,-0.04628478,0.46109812
0.26000000,-0.04604867,0.45769466
0.27000000,-0.04577103,0.45453707
0.28000000,-0.04545140,0.45163864
0.29000000,-0.04509314,0.44900517
0.30000000,-0.04470267,0.44663392
0.31000000,-0.04428849,0.44451351
0.32000000,-0.04386031,0.44262466
0.33000000,-0.04342820,0.44094155
0.34000000,-0.04300188,0.43943391
0.35000000,-0.04259004,0.43806955
0.36000000,-0.04219982,0.43681727
0.37000000,-0.04183645,0.43564953
0.38000000,-0.04150304,0.43454467
0.39000000,-0.04120057,0.43348810
0.40000000,-0.04092824,0.43247242
0.41000000,-0.04068385,0.43149626
0.42000000,-0.04046445,0.43056219
0.43000000,-0.04026704,0.42967401
0.44000000,-0.04008922,0.42883369
0.45000000,-0.03992978,0.42803850
0.46000000,-0.03978918,0.42727855
0.47000000,-0.03966979,0.42653514
0.48000000,-0.03957595,0.42578006
0.49000000,-0.03951377,0.42497610
0.50000000,-0.03949074,0.42407876
0.51000000,-0.03951515,0.42303916
0.52000000,-0.03959534,0.42180781
0.53000000,-0.03973888,0.42033889
0.54000000,-0.03995181,0.41859451
0.55000000,-0.04023793,0.41654827
0.56000000,-0.04059825,0.41418771
0.57000000,-0.04103069,0.41151525
0.58000000,-0.04153003,0.40854761
0.59000000,-0.04208804,0.40531387
0.60000000,-0.04269383,0.40185251
0.61000000,-0.04333435,0.39820804
0.62000000,-0.04399502,0.39442748
0.63000000,-0.04466028,0.39055737
0.64000000,-0.04531434,0.38664117
0.65000000,-0.04594170,0.38271737
0.66000000,-0.04652778,0.37881818
0.67000000,-0.04705937,0.37496867
0.68000000,-0.04752489,0.37118631
0.69000000,-0.04791442,0.36748103
0.70000000,-0.04821931,0.36385584
0.71000000,-0.04843109,0.36030838
0.72000000,-0.04853953,0.35683403
0.73000000,-0.04852940,0.35343150
0.74000000,-0.04837495,0.35011303
0.75000000,-0.04803080,0.34692475
0.76000000,-0.04741487,0.34399429
0.77000000,-0.04637211,0.34166352
0.78000000,-0.04458322,0.34093685
0.79000000,-0.04127789,0.34538204
0.80000000,-0.03398154,0.37244560
